content,score,reviewCreatedVersion,at
"Aplikasi yg sgt membantu bagi q yg males keluar rumah, tinggl klik bres dh",5,3.98.0,24/02/2024
Ini gimana tolong dong Saya transfer ke bank keterangan berhasil tapi yang ga masuk tolong dong jangan ngecewain kaya gini ovo,1,3.98.0,22/02/2024
Aplikasi gak jelas sering eror kalo mau tf,3,3.98.0,20/02/2024
Cepat pelayanannya,5,3.98.0,20/02/2024
Aplikasi yg bisa membantu,5,3.98.0,18/02/2024
Aplikasi yang sangat berguna dan bermanfaat,5,3.98.0,18/02/2024
K3napa di buka ndk bisa .minta update tapi susah di update,1,3.98.0,18/02/2024
"Transfer antar Bank bayar,Topup Dari Rekening ke ovo juga bayar😅 kacau dah",1,3.98.0,17/02/2024
"Aplikasi maling ovo ,saya transfer menggunakan qris saldo sudah terpotong tapi masih dalam proses terus Udah 1bulann. Ga lagi lagi deh pake ovo",5,3.98.0,15/02/2024
"Gak jelas, seminggu sekali update. Pengiriman ssma ovo sehari cma 1 transaksi y bisa..",1,3.98.0,13/02/2024
"Tdk mihak ke Umat Islam, justru mihak ke Zionis laknatullah",1,3.98.0,13/02/2024
Sangat mempermudah transaksi.,5,3.98.0,12/02/2024
"Gagal memuat konten,",1,3.98.0,12/02/2024
"AKUN SUDAH DIISI SALDO MAU DIPAKAI MALAH TIDAK BISA,DISURUH LOGIN PAKE PERANGKAT LAIN MALAH AKUN DIBLOKIR",1,3.98.0,11/02/2024
"Gjlas,mau isi pulsa tulisannya gagal proses mending gtu tarik dana sekalian buat beli pulsa diwarung..bikin g nyaman.",2,3.98.0,10/02/2024
Transfer ke rekening tulisannya bwrhasil ternyata gamasuk dilaporkan nunggue 3 hari,1,3.98.0,09/02/2024
"Bagus, tdk ribet dan banyak kerjasamanya",5,3.98.0,09/02/2024
"Secepat kilat, mudah",5,3.98.0,08/02/2024
"Mantap, gampang dan mudah.",5,3.98.0,07/02/2024
Saya baru kali ini memakai OVO dan belum pernah melakukan transaksi semoga maklum dengan kekurangan saya dalam menguasai cara aplikasi ini.. Ok..!!!,4,3.98.0,06/02/2024
Slow respon.. pelayanan kurng bagus,1,3.98.0,06/02/2024
Jangan sering gangguan/error/transaksi tidak lancar yaaaa,1,3.98.0,06/02/2024
"untuk qris lumayan lama loading nya, sudah di update, awalnya gampang sprt biasa tapi lama lama ngulah lagi, padahal jaringan baik aja. semoga segera di tangani ya",5,3.98.0,05/02/2024
"Terlalu ribet, ketika mencoba login di kira aktivitas mencurigakan akhirnya di blokir, nunggu berjam jam hasilnya nihil",1,3.98.0,05/02/2024
Sangat membantu untuk pembayaran,5,3.98.0,05/02/2024
"Aplikasi bermasalah mulu perasaan hm , ada masalah apa sih ? Kalah pamor apa gmna ? Ini saya ngestuck terus di halaman awal",1,3.98.0,03/02/2024
Force close mulu bahkan setelah di update,1,3.98.0,03/02/2024
Ko ovo ga bisa kebuka kenapa ya,5,3.98.0,03/02/2024
Aplikasi nya mental terus kenapa y gk bisa di buka,5,3.98.0,03/02/2024
Aplikasi ga bisa di buka di halaman awal gimana mau pakai saldo,1,3.98.0,03/02/2024
Mantap jd lebih mudah,5,3.98.0,03/02/2024
Sekarang udah bisa. Terima kasi ovo. Udah saya ubah rating nya pertama bintang satu sekarang bintang lima,5,3.98.0,03/02/2024
tambahin fitur transfer ke e-wallet lain dong,4,3.98.0,02/02/2024
Transaksi nya gampang banget,5,3.98.0,02/02/2024
Dg ovo semua transaksi menjadi cepat n mudah. Serta aman dlm menyimpan uangnya.,5,3.98.0,02/02/2024
transaksi transfer sering eror trus trusan proses ga berhasil berhasil sangat merugikan,1,3.98.0,01/02/2024
Hari gini masih nyusahin pelanggan dengan ngasih cashback Langsung diskon kale.. Ribet amat pake koin Pelan2 di tinggalin elu,1,3.98.0,01/02/2024
Gampaaang pake nya,5,3.98.0,31/01/2024
Transaksi apapun jd mudah,5,3.98.0,31/01/2024
update mulu kenapa si,1,3.98.0,30/01/2024
Kenapa nggak bisa update ya padahal Jaringan internet lagi kenceng?,1,3.98.0,30/01/2024
"Cuma sekedar info.. Sayangi uang kalian, jangan pernah gunakan apk ini untuk bertransaksi apapun karna sangat merugikan.. Saya melakukan pembayaran via QR, saldo saya dah diambil, tp status dari tgl 08 januari sampe sekarang dah tgl 30 januari masih dalam proses aja. Saya hubungi pihak ovo via email pun gak ada jawaban yg jelas, cuma suruh nunggu nunggu dan nunggu. Sekali lagi sayangi uang kalian.. Kalian pake apk sampah ini, sama saja kalian buang2 duit.",1,3.98.0,29/01/2024
"Sumpah kapok banget pake ovo transfer ke bank eror responnya susah mana ga ada cs yg bisa live chat, kita lapor jawabannya template huh susah",1,3.98.0,29/01/2024
"Bagus. Upgrade lama? Wajar, karna yg daftar dadakan banyak, jadi proses juga otomatis akan melambat karna permintaannya menumpuk. Jadilah pengguna yang cerdas.",5,3.98.0,29/01/2024
Baguss sekali,5,3.98.0,28/01/2024
Terima kasih banyak ovo jadi mudah saya transaksi,5,3.98.0,28/01/2024
Uang aman dan hemat,5,3.98.0,27/01/2024
Sangat mudah untuk jualan apa aja.,5,3.98.0,27/01/2024
Bagus dan mudah untuk penarikann..!,5,3.98.0,26/01/2024
Masalah dengan biaya top up.. Enak pake dana gratiss,2,3.98.0,26/01/2024
Mantap kali aplikasi bisa kirim dan top up Uang dengan mudah,5,3.98.0,26/01/2024
"Kenapa ovo nya sekarang ga bisa di buka sihh, padahal baru abis top up",1,3.98.0,26/01/2024
aplikasi SAMPAH . POTO PULUHAN KALI TETEP AJA GA BISA . HAPUS AJA APLIKASI MU DARI PLAYSTORE .... AMPASS !!!,1,3.98.0,25/01/2024
Sangat cepat dan mudah d gunakan,5,3.98.0,25/01/2024
"Sistem Rapuh,,,upgrade gak bisa Harusnya memudahkan,,malah pengguna yang harus banyak upaya",5,3.98.0,25/01/2024
Sangat memudahkan bertransaksi 🙏,4,3.98.0,25/01/2024
Mau bikin akun dari kemaren vermasah terus ngga bisa ngetik nama aneh,1,3.98.0,25/01/2024
Masa baru diperbarui satu hari minta perbarui lg potongan adminnya gede dobel ruginya yg masuk ga full bayar dicounternya malah nambah 2-3rb tekor lah,1,3.98.0,24/01/2024
"Saran tf ke bang jangan bayar mulu, terus setiap dana masuk selalu ada potongan",4,3.98.0,24/01/2024
"Hati2 kalo pake apl ini, saya transaksi gagal saldo terpotong duit ga bisa balik",1,3.98.0,24/01/2024
Praktis ekonomis cepat dan mudah,5,3.98.0,24/01/2024
"Sering error,update apanya,ga jelas",2,3.98.0,24/01/2024
bagus banget gampang buat belanja dan transfer,5,3.98.0,24/01/2024
Kok gak ada transfer antar ewallet ya Seperti aplikasi sebelah,2,3.98.0,23/01/2024
"Tolong ini aplikasi setelah logout langsung gak bisa login, keterangan modifikasi, kenpa ya, tolong d bereskan.. Ga usah pakai ovo lagi.!",1,3.98.0,23/01/2024
"Membantu, tur gampang",5,3.98.0,23/01/2024
"Untuk transfer ke e walet lain spt shopee gopay dana harus pake kode2 kusus,.. Kalau gopay sudah ada menu transfer ke e walet lainnya tinggal klik",5,3.98.0,23/01/2024
Aplikasi yg bermanfaat mudah penggunaannya dan banyak menu buat transaksi terima kasih,5,3.98.0,22/01/2024
"Terima Kasih OVO, SALDO E-Money yg gagal sudah di transfer kembali.. semoga kelak sistem TOP UP E-Money via OVO bisa lebih Cepat, Quick responsif dan Aman.",4,3.98.0,22/01/2024
Udah top up buat isi saldo tapi gak masuk masuk padahal semua udah bener gara gara sistem gak masuk masuk sampe sekarang,1,3.98.0,22/01/2024
Terlalu lama libur ini mau transaksi tapi masih menunggu terus emng bank bisa menunggu... Kok bisa ovo tidak tersedia lagi itu lohhh uang aku di situ loh,1,3.98.0,22/01/2024
"Kali ini kecewa banget ya pake ovo, uang saya yg katanya di refund dari desember 2023 sampe skrang Januari 2024 tidak di kembalikan !!!! Dan tidak ada penjelasan apapun !!",1,3.98.0,22/01/2024
"Aplikasi sering eror, gajelas cuihhhh",1,3.98.0,22/01/2024
OVO mantap Dan memudahkan pengguna nya,5,3.98.0,21/01/2024
Ovo saya kenapa gak bisa login kk,1,3.98.0,21/01/2024
"aplikasi apaan lebi enak pakai gopayy, apk gbsa ganti nama",1,3.98.0,21/01/2024
"Kak kenapa aplikasinya tidak bisa di buka,saya mau pakai uang yg ada d aplikasi? Harap segera perbaiki",2,3.98.0,21/01/2024
"Aplikasi gajelas, pembayaran gagal terus. Respon customer service lama!",1,3.98.0,21/01/2024
Bagus aplikasi aman dan mudah untuk bayar apa aja,5,3.98.0,21/01/2024
"Banyak error' nya ni apk, 1, pembayaran gagal Mulu 2, saat login ke akun malah gak bisa, Nyesel ganti ke ovo",1,3.98.0,21/01/2024
Dompet digital ini parah sekali top up gak masuk saldo nya malah berkurang tidak untuk di download apk ovo ini merugikan orang lain Mending download dompet digital DANA 100%,1,3.98.0,21/01/2024
nyetuck mulu d awal ajg emg,1,3.98.0,21/01/2024
"Akun saya tidak bisa login tertulis peringatan aplikasi kamu sudah di modif, dan di situ ada uang aku aku berharap bisa login lagi udh berhari-hari login tetep tidak bisa, mengecewakan sekali",1,3.98.0,21/01/2024
"Keamanan saldo dan transaksi perlu ditingkatkan,karena saldo sering menghilang dengan transaksi yang tidak diketahui.kepada pihak OVO tolong ditingkatkan lagi keamanannya!",3,3.98.0,21/01/2024
Mantap bikin istri senang,5,3.98.0,21/01/2024
Kenapa yah Kaka bulan kok gak mau di update padahal ada nitif pulihkan/update pas di buka apps nya,5,3.98.0,21/01/2024
mau ganti nomor gak bisa padahal otp sudah sesuai,2,3.98.0,21/01/2024
"Saya sdh tdk percaya lagi sama apk ini,top up saldo e-toll 50 tdk masuk.tp saldo di OVO sudah berkurang 51500.jwbnyanya masih diproses terus.saya sudah sampaikan di radio suara Surabaya juga tentang permasalahan saya ini.biar semua org mendengar klo top up saldo jgn pakai apk OVO biar gak ada yg dirugikan lagi.",1,3.98.0,21/01/2024
"Saya sangat kecewa, saat butuh untuk tarik tunai di merchant, ovonya gangguan, tdk bisa tarik tunai, sangat mengecewakan, kinerja tdk sesuai yg di harapkan, bintang 1 sengaja saya berikan atas kecewa saya",1,3.98.0,21/01/2024
"Aplikasi cukup bagus,udah berkurang elornya,mohon di tingkatkan kembali Dari segi histori,dan segi kemudahan lainya seperti cs yg sigap supaya pengguna nyaman,semoga dapat lebih berkembang,trimakasih👌😊",4,3.98.0,21/01/2024
Begitu memudahkan transaksi.👍,5,3.98.0,21/01/2024
Tapi masih nanya email,1,3.98.0,21/01/2024
TF ke ovo GK masuk masuk udah 4 jam..gimna yh ovo tlp oprator ovo,1,3.98.0,21/01/2024
Cepat proses pembayarannya mantap,5,3.98.0,21/01/2024
"sangat baik aplikasix, semoga selalu mempermudahkan pelanggan 😇",5,3.98.0,21/01/2024
"App yang sangat buruk, gangguan terus menerus.. Sangat tidak puas dangan app ini",1,3.98.0,21/01/2024
"lebih banyak discounnya ke bengkel,jangan hanya pada toko makanan dan pakaian.",1,3.98.0,21/01/2024
"Tolong di proses segera laporan saya , jadi lah layanan jasa keuangan yg baik , dan tolong juga di beritahu kenapa bisa terjadi pending saat transfer agar para seluruh pengguna aplikasi anda aman dan nyaman untuk menggunakan nya ..",1,3.98.0,21/01/2024
Lambat dan masih harus mengulangi,3,3.98.0,21/01/2024
"Daftar di aplikasi awal,memasukkan email ditolak terus.....Sampek 2 hari tidak ada perubahan....",1,3.98.0,21/01/2024
Bagus untuk saat ini mah cepat dan mudah,5,3.98.0,21/01/2024
Tolonglah oy pihak OVO saya transfer uang ke rekening bank tapi sedang diproses terus itu uang nya sangat butuh malah sedang diproses mana lama lagii dan juga nominal nya nggak dikitt ayolah itu uang nya di butuhin malah bisa bisa nya pending,1,3.98.0,20/01/2024
transaksi selalu di proses sudah beberapa hari tapi saldo tetap tidak kembali. Dicatat ya: 1. Ovo tidak memberi saya jaminan terkait permasalahan ini. 2. Tidak ada kejelasanan mengenai informasi yang diberikan 3. Proses pelayanan yang di berikan sangat buruk. 4. Waktu 3 hari kerja untuk tindak lanjut itu bukan solusi. 5. Jika masalah ini adalah gangguan system pasti secara otomatis saldo saya sudah kembali. Jika dalam 3 hari proses tidak selesai dan saldo tidak kembali artinya ini penggelapan,1,3.98.0,20/01/2024
Apalah ini banyak bug byusuk sekali,1,3.98.0,20/01/2024
"apk agak lain, saldo kok sering hilang,makin lama makin banyak pula nominalnya 1-2x okelah ini uda beberapa kali sampe terakhir gw mau beli makanan krn laper banget malah saldo tbtb brkurang 30rb+ sendiri gak masalah nominal,keamanan nya gimana sih? gampang banget dibobol keknya. sampah",1,3.98.0,20/01/2024
Gimana nii kok masih proses terus saya tranfer bank dari kemaren malem sampek malam ini kok masih gak ada jawaban parah ni apk,1,3.98.0,20/01/2024
aplikasi TAIiiiii.. tiap transaksi 1500..tf k bank potong 2500...nyesal,1,3.98.0,20/01/2024
"saya tadi top up di indomart. transaksi berhasil tapi saldo ovo belom masuk dan gak bertambah tolong lah ovo masih dan udah hubungi cs ovo katanya udah masuk nyatanya notifikasi blom masuk saldo masih segitu"" aja yolong lah pihak ovo",1,3.98.0,20/01/2024
"Ovo tolong bantu saya top up 2 jt gak masuk, saya top up bia merchent indomaret. Mau di pakai itu uang butuh banget 😕",1,3.98.0,20/01/2024
Ini aplikasi apa sih ?saldo gw ada 100 ga bs upgrade masa udah puluhan kali foto ktp gada cahaya udah pas di kotak masih juga ga bisa Bangke‼️,1,3.98.0,20/01/2024
Dari dulu gunain ini mudah banget vitur nya,5,3.98.0,20/01/2024
Aplikasi y eror trus disaat lgi bu bgt,1,3.98.0,20/01/2024
"Apalah,code securitynya gak dikirim kirim",1,3.98.0,20/01/2024
Aplikasi sangat membantu.. 👍👍,5,3.98.0,20/01/2024
Transfer mudah sekali bisa bayar semuanya,5,3.98.0,20/01/2024
Gampang melakukan transaksi,5,3.98.0,20/01/2024
Sudah bagus sekali,5,3.98.0,20/01/2024
"Ovo tdk bisa smpan saldo skrg ya, hilang tiba tiba , semalam 750rb saldo sy skrg sisa 644rb kemanain tuh duit ku😤",1,3.98.0,20/01/2024
bagus dan mudah penggunanya..,5,3.98.0,20/01/2024
"Tiba tiba keluar sendiri, terus berkali kali coba masuk selalu gagal, padahal sebelumnya baik baik saja",1,3.98.0,20/01/2024
Sangat mudah trimakasi,5,3.98.0,20/01/2024
Tidak bisa transfer ke rekening bank niaga,5,3.98.0,20/01/2024
"uang yg saya kirim dari ovo nyangkut dan ga kekirim, padahal lagi butuh hari itu jg malah disuruh nunggu sampe 2-3 hari kerja klo kaya gt kerugian saya siapa yg mau tanggung?? sudah buat laporan dan balasan nya hanya template buat nunggu 2-3 hari kerja doang",1,3.98.0,20/01/2024
Lebih gampang dan memudahkan segalanya,5,3.98.0,20/01/2024
App yg sangat membantu,5,3.98.0,20/01/2024
Apk buruk pas mau di pake malah gak masuk masuk gila ini aplikasi bodong,1,3.98.0,20/01/2024
Sangat mudah dan cepat untuk bertransaksi pokoknya mantab banget dan sangat membantu,5,3.98.0,20/01/2024
"sumpah mau login aja tidak bisa bisa harus update play service, sudah update yang terbaru padahal play service saya. GAWAT GAWAT",1,3.98.0,20/01/2024
Transfer diproses tetapi belum juga masuk aplikasi ini sangat mengecewakan,1,3.98.0,20/01/2024
"Stiap buka aplikasi nya akhir2 ini knpa gak bisa ya,,udah update,tetap aja gak bisa di buka,pdhal saya mau transaksi,mohon dong solusi nya",1,3.98.0,20/01/2024
"Aplikasi tololll Masak kirim ke sesama ovo gak bisa lebih dari 3x dalam 1 waktu Gak kayak DANA, bebas kirim. 10x kirim ke no yang sama gak masalah",1,3.98.0,20/01/2024
Sangat mudah dan murah,5,3.98.0,20/01/2024
"Buka nya aja lemot,uang saya nyangkut tf proses mulu gd kejelasan gajelas apk ini",1,3.98.0,20/01/2024
sangat cepat bertransaksi,5,3.98.0,20/01/2024
Sangat membantu untuk semua transaksi terimakasih ovo,5,3.98.0,20/01/2024
Makin lama makin ribet,1,3.98.0,20/01/2024
"Sudah mulai kecewa pakai OVO😔 Kami pelanggan setia pakai OVO . OVO sekarang tidak seperti yang dulu PROMO² nya benar ada, tapi skrg promonya ada tp hadiahnya.. Selalu masuk Notifikasi sudah habis/terbatas atau kadaluarsa. Mohon diperhatikan.",4,3.98.0,20/01/2024
Lancar mudah dan cepat,5,3.98.0,20/01/2024
"kudu misoh musuh ovo , jan kudu misoh pokok e",1,3.98.0,20/01/2024
Mau buat upgrade ke premier agak ribet apalagi pas bagian NIK kalo misal ada kesalahan baca/scan karena KTP sudah agak blur beberapa huruf ada angka yang tak terbaca. Betulin lagi nggih atau tambahin persyaratan lain selain scan KTP karena terkadang hasil scan kurang valid sama data aslinya,1,3.98.0,20/01/2024
Entah faktor aplikasi ini atau providernya mau isi pulsa 5k gagal trs sampek 3x. Ya masa harus beli yg 10k baru bisa beli pulsa.,2,3.98.0,20/01/2024
"Apa apa bayar sekarang eror gak punya solusi,kan tolol",1,3.98.0,20/01/2024
Saldo saya kepotong padahal transaksi gagal dikasir.tolong dong yang amanah jangan ngasal potong saldo kalo transaksi gagal ituu.huhhhhh udah dichat lewat aplikasi ovonya gaaad respon baik.balikin uang sayaaa!!!!!!!!!!!,1,3.98.0,20/01/2024
"Ovo investasi ilang tgl 15 feb kalo pindah ke bareksa harus ada rekening kalo bisa tanpa rekening saya mau pindah ke bareksa masalahnya tidak bisa sama sekali kalu tanpa rekening, saya gak mau bikin rek",1,3.98.0,20/01/2024
Mantap aplikasi ovo sangat memudahkan untuk transaksi ...makasih sdh menyediakan layanan ini,4,3.98.0,20/01/2024
"Ga berguna....saldo dipotong untuk biaya top up Bintang satu, cuman untuk bisa posting doang",1,3.98.0,20/01/2024
Bagus cepat transaksinya,5,3.98.0,19/01/2024
MOHON KERJA SAMA NYA ADMIN BIAYA TRANFER TERLALU BESAR 2.500 MOHON TAMBAH KAN JUGA METODE TRANFER E. WALLET NYA,2,3.98.0,19/01/2024
mau daftar ovo aja dipersulit,1,3.98.0,19/01/2024
Udh brp kali ovo gv di jebol gak tau knp skrg kurang bgt mirissss uang gua ilang terussss asuuu,1,3.98.0,19/01/2024
Knpa kah ngk bis masuk saldo say klw di kirim,5,3.98.0,19/01/2024
Transaksi selalu gagal entah ada kendala dan ini sudah berhari hari,1,3.98.0,19/01/2024
Sangat susah bila trasfer antar bank ... Gagal melulu,1,3.98.0,19/01/2024
Banyak potongan,1,3.98.0,19/01/2024
Ovo saya kenapa tidak bisa di buka Sering eror eror...,3,3.98.0,19/01/2024
Puas dengan layanannya,5,3.98.0,19/01/2024
"Serba di potong. Yg tf kena potong, yg nerima tf kena potong jua",1,3.98.0,19/01/2024
"baru x ini transver di proses sampe 2 hari!!! uang uang gua...knpa di buat ribet!!! awas aja klo ilang.tanggung jawab lu. biaya tranver aj lgsg di potong cepet,isi saldo di potong otomatis.cepet...giliran transver sulit. TRANSAKSI DI PROSES. hub CS ga guna.muter2 ga jelas.",1,3.98.0,19/01/2024
Mantap dan cepat,5,3.98.0,19/01/2024
Terbantu untuk finansial..,4,3.98.0,19/01/2024
"Aplikasi nya gak guna ajg, gak bisa login ajg, tolong lh di betulin aplikasi nya",1,3.98.0,19/01/2024
Ngisi kena admin transfer kena admin parah 🙈,2,3.98.0,19/01/2024
Kebanyakan pajak,1,3.98.0,19/01/2024
Ga usah di pake ini aplikasi bayangin udah capek capek narik grab saldo saya hilang,1,3.98.0,19/01/2024
"Tiba tiba sandi penarikan saya salah, dan sekarang harus nunggu 1 jam agar bisa login lagi",1,3.98.0,19/01/2024
Mau transfer kesesama ovo aja GX bisa GX jelas,1,3.98.0,19/01/2024
"Pertama kali pake ovo udah upgrade tapi ngga bisa transfer, gw cari di YouTube solusinya eh malah nemuin banyak komentar kalo aplikasi ovo ini sering bermasalah dan dari waktunyapun udah lama, tentu sebagai pengguna baru gue langsung angkat tangan,",1,3.98.0,19/01/2024
Males bgt aplikasi ni susah bgt dibuka - buka. Gue suka malu sendiri kalo make pembayaran qris aplikasinya suka nge lag begini,1,3.98.0,19/01/2024
mantab...jd lebih gampang,4,3.98.0,19/01/2024
Ga ada ferifikasi wajah saat log in jdi susah utuk login yang nomer hp nya sudah ga aktif,1,3.98.0,19/01/2024
Mantap tingkatkan lg pelayanannya,5,3.98.0,19/01/2024
Aplikasi gua kok eror yah..mau tf tapi ngga bisa..ada masalah apa..,5,3.98.0,19/01/2024
bysanya tf lgsg.. ini di proses mlulu...,3,3.98.0,19/01/2024
"Saya sangat kecewa tidak ada konfensasi dari ovo atas hilang nya saldo saya, tidak ada bantuan jg setiap isi saldo pasti ada aja saldo yg hilang tnpa sayaelakukan transaksi",1,3.98.0,19/01/2024
Cacat banget ini aplikasi baru mau daftar stuck di pembuatan nama gmana mau maju aplikasi beginian,1,3.98.0,19/01/2024
Susah buat ngajuin OVO U Card nya..,1,3.98.0,19/01/2024
"Aplikasi apaan ne, pas mau tulis nama aja susah betul,. Aplikasi jelek",1,3.98.0,19/01/2024
"Aplikasi yang sangat menyedihkan sekali! Lihat cs bot, Nama orang seindonesiah dipake.",1,3.98.0,19/01/2024
"Woy Knp gua dikirim kodenya pekok Dan pakek metode pesan linknya kadaluarsa,padahal baru dikirim pekok",1,3.98.0,19/01/2024
Aplikasi apaan nih ribet banget,1,3.98.0,19/01/2024
Aplikasi ga guna banyak erornya gblk. Minta update paling sering lol,1,3.98.0,19/01/2024
Eror stuck di layar ungu ovo,1,3.98.0,19/01/2024
"ribet banyak fitur"" gak jelas .lebih bagus dompet digital sebelah",1,3.98.0,19/01/2024
parah ovo nih transaksi d proses sudah 1 minggu lebih tapi uang nya ga d kembalikan,1,3.98.0,19/01/2024
Buruk sering eror saat transaksi,1,3.98.0,19/01/2024
membantu saya dalam segala hal,5,3.98.0,18/01/2024
"Mudah dalam bertransaksi apapun, gak ribet dan mudah digunakan, sukses selalu ovo. Terimakasih",5,3.98.0,18/01/2024
"Ngga bisa masuk. Katanya suruh update perkhidmatan play store, udah di update tapi tetep aja ngga bisa",1,3.98.0,18/01/2024
Sangat baik pakai ovo untuk toplah no 1 ovo,5,3.98.0,18/01/2024
Bisa menabung,5,3.98.0,18/01/2024
ovo saya hanya bisa dibuka dengan sambungan wifi saja,1,3.98.0,18/01/2024
"dikit "" update. bikin kesel.",1,3.98.0,18/01/2024
"kode qris banyak mengalami gangguan,,apk gak jelas",1,3.98.0,18/01/2024
"Setiap topup dipotong,ini habis topup 100k ud g bisa dibuka lagi,kode juga tidak dikirim,mau nipu atau gimana?",1,3.98.0,18/01/2024
Tolong dung perbaikannya nya ovo saya gk bisa masuk/login,5,3.98.0,18/01/2024
Maaf kenapa setelah lama tdk d gunakan jadi gk bisa untuk transfer ya,5,3.98.0,18/01/2024
GRibeut cepet bnget pake aplilasi ini gaes,5,3.98.0,18/01/2024
"makin kesini makin ga bener ovo bayar pake qris udah 10 hari blm masuk masuk malah suruh nunggu 2 minggu lagi, d email ga jelas",1,3.98.0,18/01/2024
"Tidak bisa digunakan qris (selalu gagal) uninstall ulang malah gk bs masuk, dicurigai me modifikasi app padahal download via playstore",1,3.98.0,18/01/2024
"Apk aneh, masak iya setiap mau transaksi ada masalah dulu. Entah itu loading nya lama ataupun pas sudah login malah di suruh log-in lagi alhasil saya kena Ban sementara selama 30 menit, aneh sekali ini aplikasi, entah itu di Apk ini ataupun Apk sebelah sama² aneh 😑.",3,3.98.0,18/01/2024
Apknya sering gangguan!!.tolong di perhatikan,2,3.98.0,18/01/2024
"Apk taiii lhkkkk..topup sgla pake admin,...uang pas2an buat bayar tagihan pake di potong ,taeeee lhhhh Jangan download please klo gk mau pusing kyk saya",1,3.98.0,18/01/2024
"Notif ngaco....... transaksi tgl 10 dikasih notif berhasil tgl 16. Saya kan kaget jika tidak baca untuh. ""Transaksi berhasil bla bla bla....."" saya kan tidak sedang transaksi apapun di tgl notif muncul.",3,3.98.0,18/01/2024
Kenapa punya saya stlah y mungkin 3-4hari g dibuka harus masukin nomer lg intinya harus daftar lagi kan udah daftar...,1,3.98.0,18/01/2024
