content,score,at,token,lemmatized,clean,period,sentiment,is_positive,is_negative
kenapa surabaya tidak bisa cuma jakarta bogor depok tangerang bekasi saja,1,2018-03-23,"['surabaya', 'jakarta', 'bogor', 'depok', 'tangerang', 'bekasi']",surabaya jakarta bogor depok tangerang bekas,surabaya jakarta bogor depok tangerang bekasi,2018-03,NEGATIVE,0,0
hati sama acses email ane sembunyi maksudnya apa tolong tindak lanjuti,1,2018-03-13,"['hati', 'acses', 'email', 'ane', 'sembunyi', 'maksudnya', 'tolong', 'tindak', 'lanjuti']",hati acses email ane sembunyi maksud tolong tindak lanjut,hati acses email ane sembunyi maksudnya tolong tindak lanjuti,2018-03,NEGATIVE,0,0
area layanan diperluas dong biar lebih keren mantap,5,2018-03-03,"['area', 'layanan', 'diperluas', 'biar', 'keren', 'mantap']",area layan luas biar keren mantap,area layanan diperluas biar keren mantap,2018-03,POSITIVE,0,0
saya tidak pakai internet banking dasar sampah tidak bisa membantu,1,2018-03-17,"['pakai', 'internet', 'banking', 'dasar', 'sampah', 'membantu']",pakai internet banking dasar sampah bantu,pakai internet banking dasar sampah membantu,2018-03,NEGATIVE,0,0
terima kasih semoga prosesnya cepat dan acc,5,2018-03-02,"['terima', 'kasih', 'semoga', 'prosesnya', 'cepat', 'acc']",terima kasih moga proses cepat acc,terima kasih semoga prosesnya cepat acc,2018-03,POSITIVE,0,0
ibilang proses cepat tetapi saya ngajuin dari tanggal sampai tanggal masih saja belum ada jawaban,2,2018-03-22,"['ibilang', 'proses', 'cepat', 'ngajuin', 'tanggal', 'tanggal']",ibilang proses cepat ngajuin tanggal tanggal,ibilang proses cepat ngajuin tanggal tanggal,2018-03,NEGATIVE,0,0
saya kecewa dengan pinjaman ini proses lama sekali telepon pagi siang ini bilang bisa pengajuan,2,2018-03-26,"['kecewa', 'pinjaman', 'proses', 'telepon', 'pagi', 'siang', 'bilang', 'pengajuan']",kecewa pinjam proses telepon pagi siang bilang aju,kecewa pinjaman proses telepon pagi siang bilang pengajuan,2018-03,NEGATIVE,0,0
semoga acc buat tambah modal kripik istri saya,5,2018-03-03,"['semoga', 'acc', 'modal', 'kripik', 'istri']",moga acc modal kripik istri,semoga acc modal kripik istri,2018-03,POSITIVE,0,0
semoga selalu diberi kelancaran buat pemilik pengguna apl ini,5,2018-03-12,"['semoga', 'kelancaran', 'pemilik', 'pengguna', 'apl']",moga lancar milik guna apl,semoga kelancaran pemilik pengguna apl,2018-03,POSITIVE,0,0
daerah sumatera selatan kota palembang masuk payah,1,2018-04-04,"['daerah', 'sumatera', 'selatan', 'kota', 'palembang', 'masuk', 'payah']",daerah sumatera selatan kota palembang masuk payah,daerah sumatera selatan kota palembang masuk payah,2018-04,NEGATIVE,0,0
tingkatkan area layanan sampai bandung terima kasih,5,2018-04-21,"['tingkatkan', 'area', 'layanan', 'bandung', 'terima', 'kasih']",tingkat area layan bandung terima kasih,tingkatkan area layanan bandung terima kasih,2018-04,POSITIVE,0,0
bisa membantu meringankn beban orang butuh uang,5,2018-04-27,"['membantu', 'meringankn', 'beban', 'orang', 'butuh', 'uang']",bantu meringankn beban orang butuh uang,membantu meringankn beban orang butuh uang,2018-04,NEGATIVE,0,0
semoga bisa membantu pelayanan saya tunggu kinerjanya mudahan tidak lebih dari hari kerja proses nya,4,2018-04-20,"['semoga', 'membantu', 'pelayanan', 'tunggu', 'kinerjanya', 'mudahan', 'kerja', 'proses', 'nya']",moga bantu layan tunggu kerja mudah kerja proses nya,semoga membantu pelayanan tunggu kinerjanya mudahan kerja proses nya,2018-04,POSITIVE,0,0
kasih 3bintang semoga permohonannya acc terima ksih,3,2018-04-10,"['kasih', '3bintang', 'semoga', 'permohonannya', 'acc', 'terima', 'ksih']",kasih 3bintang moga mohon acc terima ksih,kasih 3bintang semoga permohonannya acc terima ksih,2018-04,POSITIVE,0,0
apet sms pinjaman pas ngajuin tidak acc,5,2018-04-13,"['apet', 'sms', 'pinjaman', 'pas', 'ngajuin', 'acc']",apet sms pinjam pas ngajuin acc,apet sms pinjaman pas ngajuin acc,2018-04,NEGATIVE,0,0
sangat membantu bilang pengajuan saya acc terima kasih informasi dana,5,2018-04-28,"['membantu', 'bilang', 'pengajuan', 'acc', 'terima', 'kasih', 'informasi', 'dana']",bantu bilang aju acc terima kasih informasi dana,membantu bilang pengajuan acc terima kasih informasi dana,2018-04,POSITIVE,0,0
susah banget masukkan paku password bank nya,1,2018-04-20,"['susah', 'banget', 'masukkan', 'paku', 'password', 'bank', 'nya']",susah banget masuk paku password bank nya,susah banget masukkan paku password bank nya,2018-04,NEGATIVE,0,0
aneh dapat sms pengajuan dana lwat tetapi apa bahkan jls tolakan jls,1,2018-04-07,"['aneh', 'sms', 'pengajuan', 'dana', 'lwat', 'jls', 'tolakan', 'jls']",aneh sms aju dana lwat jls tolak jls,aneh sms pengajuan dana lwat jls tolakan jls,2018-04,NEGATIVE,0,0
saya kasih bintang kalau sdah bisa melayani pinjaman kalimantan timur kota balikpapan,3,2018-04-06,"['kasih', 'bintang', 'sdah', 'melayani', 'pinjaman', 'kalimantan', 'timur', 'kota', 'balikpapan']",kasih bintang sdah layan pinjam kalimantan timur kota balikpapan,kasih bintang sdah melayani pinjaman kalimantan timur kota balikpapan,2018-04,POSITIVE,0,0
cepat sih eman deh kalau bisa wilayah surabaya juga ada,5,2018-04-29,"['cepat', 'sih', 'eman', 'deh', 'wilayah', 'surabaya']",cepat sih eman deh wilayah surabaya,cepat sih eman deh wilayah surabaya,2018-04,POSITIVE,0,0
saya kasih bintang acc gkx tar terima kasih,5,2018-04-06,"['kasih', 'bintang', 'acc', 'gkx', 'tar', 'terima', 'kasih']",kasih bintang acc gkx tar terima kasih,kasih bintang acc gkx tar terima kasih,2018-04,POSITIVE,0,0
nyangkutin mobile banking tidak bisa padahal saya login juga pakai seri sama pasword itu lok,1,2018-04-16,"['nyangkutin', 'mobile', 'banking', 'login', 'pakai', 'seri', 'pasword', 'lok']",nyangkutin mobile banking login pakai seri pasword lok,nyangkutin mobile banking login pakai seri pasword lok,2018-04,NEGATIVE,0,0
kenapa saya selalu cbak bisa kata koneksi internet bisa pdahal jaringan saya,2,2018-04-23,"['cbak', 'koneksi', 'internet', 'pdahal', 'jaringan']",cbak koneksi internet pdahal jaring,cbak koneksi internet pdahal jaringan,2018-04,NEGATIVE,0,0
saya daerh surabaya mohon disetujui sangat membantu,5,2018-04-11,"['daerh', 'surabaya', 'mohon', 'disetujui', 'membantu']",daerh surabaya mohon tuju bantu,daerh surabaya mohon disetujui membantu,2018-04,POSITIVE,0,0
semoga membantu banyak orang yang membutuhkan bantuan kemudahan keuangan,5,2018-04-19,"['semoga', 'membantu', 'orang', 'membutuhkan', 'bantuan', 'kemudahan', 'keuangan']",moga bantu orang butuh bantu mudah uang,semoga membantu orang membutuhkan bantuan kemudahan keuangan,2018-04,POSITIVE,0,0
foto ktp dan selfie sudah dicoba berkali kali selalu gagal,1,2018-04-27,"['foto', 'ktp', 'selfie', 'dicoba', 'berkali', 'kali', 'gagal']",foto ktp selfie coba kali kali gagal,foto ktp selfie dicoba berkali kali gagal,2018-04,NEGATIVE,0,0
bunga kayak orang gila mening kemana mana masuk ojk ini kayaknya,1,2018-04-22,"['bunga', 'kayak', 'orang', 'gila', 'mening', 'kemana', 'masuk', 'ojk', 'kayaknya']",bunga kayak orang gila ning mana masuk ojk kayak,bunga kayak orang gila mening kemana masuk ojk kayaknya,2018-04,NEGATIVE,0,0
kasih dahulu semoga acc kalau acc nanti nambah bintang lagi,3,2018-04-03,"['kasih', 'semoga', 'acc', 'acc', 'nambah', 'bintang']",kasih moga acc acc nambah bintang,kasih semoga acc acc nambah bintang,2018-04,POSITIVE,0,0
bismillah tolong acc urgent terima kasih kenapa lama sekali minimal,5,2018-05-14,"['bismillah', 'tolong', 'acc', 'urgent', 'terima', 'kasih', 'minimal']",bismillah tolong acc urgent terima kasih minimal,bismillah tolong acc urgent terima kasih minimal,2018-05,NEGATIVE,0,0
sudah susah payah mengisi rating tinggi bahkan tidak lolos penipu,1,2018-05-09,"['susah', 'payah', 'mengisi', 'rating', 'lolos', 'penipu']",susah payah isi rating lolos tipu,susah payah mengisi rating lolos penipu,2018-05,NEGATIVE,0,0
hati bro akun google dan sebagainya bisa hack hati saja,1,2018-05-28,"['hati', 'bro', 'akun', 'google', 'hack', 'hati']",hati bro akun google hack hati,hati bro akun google hack hati,2018-05,NEGATIVE,0,0
semoga lebih lancar lagi proses pinjaman nya,5,2018-05-01,"['semoga', 'lancar', 'proses', 'pinjaman', 'nya']",moga lancar proses pinjam nya,semoga lancar proses pinjaman nya,2018-05,POSITIVE,0,0
bagaimana cara masukan nomor rekening jika tidak memiliki klikbca jadi sulit masuknya,5,2018-05-17,"['masukan', 'nomor', 'rekening', 'memiliki', 'klikbca', 'sulit', 'masuknya']",masuk nomor rekening milik klikbca sulit masuk,masukan nomor rekening memiliki klikbca sulit masuknya,2018-05,NEGATIVE,0,0
sayang sekali wilayah jabar meluas padahal aplikasi bagus rumit,2,2018-05-28,"['sayang', 'wilayah', 'jabar', 'meluas', 'aplikasi', 'bagus', 'rumit']",sayang wilayah jabar luas aplikasi bagus rumit,sayang wilayah jabar meluas aplikasi bagus rumit,2018-05,NEGATIVE,0,0
saya kasih bintang dahulu kalau diacc saya kasihb5 bintang,3,2018-05-18,"['kasih', 'bintang', 'diacc', 'kasihb5', 'bintang']",kasih bintang diacc kasihb5 bintang,kasih bintang diacc kasihb5 bintang,2018-05,POSITIVE,0,0
mantap nih ngajukan pinjaman pula tolak,1,2018-05-28,"['mantap', 'nih', 'ngajukan', 'pinjaman', 'tolak']",mantap nih ngajukan pinjam tolak,mantap nih ngajukan pinjaman tolak,2018-05,POSITIVE,0,0
mantap banget ini bisa nyicil angsurannya semoga saja setujui saya berasa sumatera barat,5,2018-05-01,"['mantap', 'banget', 'nyicil', 'angsurannya', 'semoga', 'setujui', 'berasa', 'sumatera', 'barat']",mantap banget nyicil angsur moga tuju rasa sumatera barat,mantap banget nyicil angsurannya semoga setujui berasa sumatera barat,2018-05,POSITIVE,0,0
susah pinjam karena tidak punya bangking kalau ada pengganti bangking lebih mudah proses pengajuanny,4,2018-05-19,"['susah', 'pinjam', 'bangking', 'pengganti', 'bangking', 'mudah', 'proses', 'pengajuanny']",susah pinjam bangking ganti bangking mudah proses pengajuanny,susah pinjam bangking pengganti bangking mudah proses pengajuanny,2018-05,POSITIVE,0,0
saya kasih tiga bintang kalau oke acc saya kasih lima,3,2018-05-31,"['kasih', 'bintang', 'oke', 'acc', 'kasih']",kasih bintang oke acc kasih,kasih bintang oke acc kasih,2018-05,POSITIVE,0,0
belajar dari yang baik untuk menjadi indo dana menjadi terbaik utamakan konsumen terima kasih,3,2018-05-22,"['belajar', 'indo', 'dana', 'terbaik', 'utamakan', 'konsumen', 'terima', 'kasih']",ajar indo dana baik utama konsumen terima kasih,belajar indo dana terbaik utamakan konsumen terima kasih,2018-05,POSITIVE,0,0
parah katanya mudah tapi rumit pakai internet banking,1,2018-05-30,"['parah', 'mudah', 'rumit', 'pakai', 'internet', 'banking']",parah mudah rumit pakai internet banking,parah mudah rumit pakai internet banking,2018-05,NEGATIVE,0,0
semoga cepat cair uangnya dan tidak ada masalah aamiin,5,2018-05-20,"['semoga', 'cepat', 'cair', 'uangnya', 'aamiin']",moga cepat cair uang aamiin,semoga cepat cair uangnya aamiin,2018-05,POSITIVE,0,0
rumit pakai minta internet bangking segala iya kalau punya kalau punya susah,5,2018-05-28,"['rumit', 'pakai', 'internet', 'bangking', 'iya', 'susah']",rumit pakai internet bangking iya susah,rumit pakai internet bangking iya susah,2018-05,NEGATIVE,0,0
saya tidak punya internet banking kok susah benar ngjuin pinjaman,5,2018-05-02,"['internet', 'banking', 'susah', 'ngjuin', 'pinjaman']",internet banking susah ngjuin pinjam,internet banking susah ngjuin pinjaman,2018-05,NEGATIVE,0,0
itunggu untuk area surabaya jawa timur terima kasih,5,2018-05-29,"['itunggu', 'area', 'surabaya', 'jawa', 'timur', 'terima', 'kasih']",itunggu area surabaya jawa timur terima kasih,itunggu area surabaya jawa timur terima kasih,2018-05,POSITIVE,0,0
mudahan acc dan beri pinjaman sukses terus indodana,5,2018-05-05,"['mudahan', 'acc', 'pinjaman', 'sukses', 'indodana']",mudah acc pinjam sukses indodana,mudahan acc pinjaman sukses indodana,2018-05,POSITIVE,0,0
kata cuma ktp terus rumit bohong ternyata harus punya mobil bangking hahh omong kosong,3,2018-05-06,"['ktp', 'rumit', 'bohong', 'mobil', 'bangking', 'hahh', 'omong', 'kosong']",ktp rumit bohong mobil bangking hahh omong kosong,ktp rumit bohong mobil bangking hahh omong kosong,2018-05,NEGATIVE,0,0
lama untuk acc katanya mudah tidak rumit tolong dibantu apa kurang data saya,3,2018-05-28,"['acc', 'mudah', 'rumit', 'tolong', 'dibantu', 'data']",acc mudah rumit tolong bantu data,acc mudah rumit tolong dibantu data,2018-05,NEGATIVE,0,0
apat membantu bagi orang yang ekonomi lemah,5,2018-05-16,"['apat', 'membantu', 'orang', 'ekonomi', 'lemah']",apat bantu orang ekonomi lemah,apat membantu orang ekonomi lemah,2018-05,NEGATIVE,0,0
semoga acc aku kasih bintang dahulu ya,3,2018-05-05,"['semoga', 'acc', 'kasih', 'bintang', 'ya']",moga acc kasih bintang ya,semoga acc kasih bintang ya,2018-05,POSITIVE,0,0
selama saya pinjam bagus saja semoga pelayanan lebih dipercepat saja,5,2018-05-25,"['pinjam', 'bagus', 'semoga', 'pelayanan', 'dipercepat']",pinjam bagus moga layan cepat,pinjam bagus semoga pelayanan dipercepat,2018-05,POSITIVE,0,0
lama banget porses anilisnya bagaimana sih sudah hari tidak ada kejelasan,2,2018-06-27,"['banget', 'porses', 'anilisnya', 'sih', 'kejelasan']",banget porses anilisnya sih jelas,banget porses anilisnya sih kejelasan,2018-06,NEGATIVE,0,0
saya ngajuin pinjaman 5jt kok cuma 1jt yang tranfer,5,2018-06-07,"['ngajuin', 'pinjaman', '5jt', '1jt', 'tranfer']",ngajuin pinjam 5jt 1jt tranfer,ngajuin pinjaman 5jt 1jt tranfer,2018-06,NEGATIVE,0,0
keren cuman untuk area medan tidak tersedia,1,2018-06-05,"['keren', 'cuman', 'area', 'medan', 'tersedia']",keren cuman area medan sedia,keren cuman area medan tersedia,2018-06,NEGATIVE,0,0
sangat membantu semoga kedepannya tenor pnjamannya perpanjang,5,2018-06-29,"['membantu', 'semoga', 'kedepannya', 'tenor', 'pnjamannya', 'perpanjang']",bantu moga depan tenor pnjamannya panjang,membantu semoga kedepannya tenor pnjamannya perpanjang,2018-06,POSITIVE,0,0
saya kasih bintang dahulu ya kalau acc saya kasih,3,2018-06-07,"['kasih', 'bintang', 'ya', 'acc', 'kasih']",kasih bintang ya acc kasih,kasih bintang ya acc kasih,2018-06,POSITIVE,0,0
aku beri bintang buanyak deh semoga bisa membantu,5,2018-06-24,"['bintang', 'buanyak', 'deh', 'semoga', 'membantu']",bintang buanyak deh moga bantu,bintang buanyak deh semoga membantu,2018-06,POSITIVE,0,0
aplikasi tai minta data mah macem acc mah lambat,1,2018-06-07,"['aplikasi', 'tai', 'data', 'mah', 'macem', 'acc', 'mah', 'lambat']",aplikasi tai data mah macem acc mah lambat,aplikasi tai data mah macem acc mah lambat,2018-06,NEGATIVE,0,0
mudah acc dan jangan persulit pengajuannya jangan tolak benar lagi butuh,5,2018-06-21,"['mudah', 'acc', 'persulit', 'pengajuannya', 'tolak', 'butuh']",mudah acc sulit aju tolak butuh,mudah acc persulit pengajuannya tolak butuh,2018-06,POSITIVE,0,0
pengajuan saya sejak tanggal juni sampai sekarang belum ada kepastian setujui apa tidak,1,2018-06-20,"['pengajuan', 'tanggal', 'juni', 'kepastian', 'setujui']",aju tanggal juni pasti tuju,pengajuan tanggal juni kepastian setujui,2018-06,NEGATIVE,0,0
baru mau pengajuan sudah langsung tolak aplikasi aneh,1,2018-06-11,"['pengajuan', 'langsung', 'tolak', 'aplikasi', 'aneh']",aju langsung tolak aplikasi aneh,pengajuan langsung tolak aplikasi aneh,2018-06,NEGATIVE,0,0
kasih bintang lima deh langsung biar pusing,5,2018-06-19,"['kasih', 'bintang', 'deh', 'langsung', 'biar', 'pusing']",kasih bintang deh langsung biar pusing,kasih bintang deh langsung biar pusing,2018-06,NEGATIVE,0,0
ini sangat berguna bagi saya mudah mudahan pinjeman saya acc terima kasih,5,2018-06-08,"['berguna', 'mudah', 'mudahan', 'pinjeman', 'acc', 'terima', 'kasih']",guna mudah mudah pinjeman acc terima kasih,berguna mudah mudahan pinjeman acc terima kasih,2018-06,POSITIVE,0,0
katanya hari kerja ini sudah 3hk tidak ada kabar approval atau tolak tidak jelas,1,2018-06-07,"['kerja', '3hk', 'kabar', 'approval', 'tolak']",kerja 3hk kabar approval tolak,kerja 3hk kabar approval tolak,2018-06,NEGATIVE,0,0
ambon dan semoga ini bisa membantu terima kasih,5,2018-06-03,"['ambon', 'semoga', 'membantu', 'terima', 'kasih']",ambon moga bantu terima kasih,ambon semoga membantu terima kasih,2018-06,POSITIVE,0,0
mencoba dulu saja tkut rumit kayak tetangga sebelah,5,2018-06-10,"['mencoba', 'tkut', 'rumit', 'kayak', 'tetangga', 'sebelah']",coba tkut rumit kayak tetangga belah,mencoba tkut rumit kayak tetangga sebelah,2018-06,NEGATIVE,0,0
proses lama banget berhari hari tolong batal ajaa,2,2018-06-04,"['proses', 'banget', 'berhari', 'tolong', 'batal', 'ajaa']",proses banget hari tolong batal ajaa,proses banget berhari tolong batal ajaa,2018-06,NEGATIVE,0,0
ktnye ktp doank tetap mintain npwp terus kalau ada dong pinjaminnye,2,2018-06-25,"['ktnye', 'ktp', 'doank', 'mintain', 'npwp', 'pinjaminnye']",ktnye ktp doank mintain npwp pinjaminnye,ktnye ktp doank mintain npwp pinjaminnye,2018-06,NEGATIVE,0,0
saya kasih bintang dahulu kalau acc saya kasih full bintang,3,2018-06-02,"['kasih', 'bintang', 'acc', 'kasih', 'full', 'bintang']",kasih bintang acc kasih full bintang,kasih bintang acc kasih full bintang,2018-06,POSITIVE,0,0
sudah lama ngajuin tapi kok sampai sekarang belum ada kepastian acc apa tidak mohon bantu,5,2018-06-21,"['ngajuin', 'kepastian', 'acc', 'mohon', 'bantu']",ngajuin pasti acc mohon bantu,ngajuin kepastian acc mohon bantu,2018-06,NEGATIVE,0,0
sangat membantu sekali terima kasih inoana semoga proses pinjaman selanjutnya cepat dan mudah,4,2018-06-27,"['membantu', 'terima', 'kasih', 'inoana', 'semoga', 'proses', 'pinjaman', 'cepat', 'mudah']",bantu terima kasih inoana moga proses pinjam cepat mudah,membantu terima kasih inoana semoga proses pinjaman cepat mudah,2018-06,POSITIVE,0,0
semoga saja membantu dan diproses cepat terima kasih indodana,5,2018-07-27,"['semoga', 'membantu', 'diproses', 'cepat', 'terima', 'kasih', 'indodana']",moga bantu proses cepat terima kasih indodana,semoga membantu diproses cepat terima kasih indodana,2018-07,POSITIVE,0,0
ser friendly banget tolong acc ya terima kasih,4,2018-07-08,"['ser', 'friendly', 'banget', 'tolong', 'acc', 'ya', 'terima', 'kasih']",ser friendly banget tolong acc ya terima kasih,ser friendly banget tolong acc ya terima kasih,2018-07,NEGATIVE,0,0
cianjur saya susah masukkan lokasi alamat parahh banget,5,2018-07-02,"['cianjur', 'susah', 'masukkan', 'lokasi', 'alamat', 'parahh', 'banget']",cianjur susah masuk lokasi alamat parahh banget,cianjur susah masukkan lokasi alamat parahh banget,2018-07,NEGATIVE,0,0
espektasinya abad menunggu kalau disetujui kalau tidak apa tidak encok,1,2018-07-12,"['espektasinya', 'abad', 'menunggu', 'disetujui', 'encok']",espektasinya abad tunggu tuju encok,espektasinya abad menunggu disetujui encok,2018-07,NEGATIVE,0,0
pengajuan approved tidak sesuai permintaan next coba lagi,4,2018-07-21,"['pengajuan', 'approved', 'sesuai', 'permintaan', 'next', 'coba']",aju approved sesuai minta next coba,pengajuan approved sesuai permintaan next coba,2018-07,NEGATIVE,0,0
ini apkls bisa membantu sumpah sangat bagus kalau didownlod,5,2018-07-30,"['apkls', 'membantu', 'sumpah', 'bagus', 'didownlod']",apkls bantu sumpah bagus didownlod,apkls membantu sumpah bagus didownlod,2018-07,POSITIVE,0,0
ntuk masukkan ktp selalu gagal padahal sdah sebisa mngkin bagaimana nieh indodana,1,2018-07-27,"['ntuk', 'masukkan', 'ktp', 'gagal', 'sdah', 'sebisa', 'mngkin', 'nieh', 'indodana']",ntuk masuk ktp gagal sdah bisa mngkin nieh indodana,ntuk masukkan ktp gagal sdah sebisa mngkin nieh indodana,2018-07,NEGATIVE,0,0
bagus baru ngajuin mohon bantuannya semoga acc aamiin,4,2018-07-13,"['bagus', 'ngajuin', 'mohon', 'bantuannya', 'semoga', 'acc', 'aamiin']",bagus ngajuin mohon bantu moga acc aamiin,bagus ngajuin mohon bantuannya semoga acc aamiin,2018-07,POSITIVE,0,0
semoga pinjaman saya acc semoga beruntung untuk ini,5,2018-07-06,"['semoga', 'pinjaman', 'acc', 'semoga', 'beruntung']",moga pinjam acc moga untung,semoga pinjaman acc semoga beruntung,2018-07,POSITIVE,0,0
perluasan sampai riau pekanbaru donkz wilayah sumatra masa jawa saja,5,2018-07-03,"['perluasan', 'riau', 'pekanbaru', 'donkz', 'wilayah', 'sumatra', 'jawa']",luas riau pekanbaru donkz wilayah sumatra jawa,perluasan riau pekanbaru donkz wilayah sumatra jawa,2018-07,NEGATIVE,0,0
baru selesai isi form sudah tertolak aneh,1,2018-07-27,"['selesai', 'isi', 'form', 'tertolak', 'aneh']",selesai isi form tolak aneh,selesai isi form tertolak aneh,2018-07,NEGATIVE,0,0
tidak menyesal sudah baikk banget terima kasih semoga sukses selalu,5,2018-07-16,"['menyesal', 'baikk', 'banget', 'terima', 'kasih', 'semoga', 'sukses']",sesal baikk banget terima kasih moga sukses,menyesal baikk banget terima kasih semoga sukses,2018-07,POSITIVE,0,0
bunga hampir masya allah riba itu riba,3,2018-07-10,"['bunga', 'masya', 'allah', 'riba', 'riba']",bunga masya allah riba riba,bunga masya allah riba riba,2018-07,NEGATIVE,0,0
semoga acc tambahan pembayaran pendidikan anak saya aamiin,5,2018-07-17,"['semoga', 'acc', 'tambahan', 'pembayaran', 'pendidikan', 'anak', 'aamiin']",moga acc tambah bayar didik anak aamiin,semoga acc tambahan pembayaran pendidikan anak aamiin,2018-07,POSITIVE,0,0
semoga acc karena untuk pengembangan modal usaha istri,5,2018-07-01,"['semoga', 'acc', 'pengembangan', 'modal', 'usaha', 'istri']",moga acc kembang modal usaha istri,semoga acc pengembangan modal usaha istri,2018-07,POSITIVE,0,0
amplikasi ini bagus cuma saya tidak punya internet banking bagaimana dong tolong bantu,5,2018-07-07,"['amplikasi', 'bagus', 'internet', 'banking', 'tolong', 'bantu']",amplikasi bagus internet banking tolong bantu,amplikasi bagus internet banking tolong bantu,2018-07,NEGATIVE,0,0
dulu ya mah menunggu hasilnya acc atau tidak kira brpa lama ya untuk hasilnya,3,2018-07-03,"['ya', 'mah', 'menunggu', 'hasilnya', 'acc', 'brpa', 'ya', 'hasilnya']",ya mah tunggu hasil acc brpa ya hasil,ya mah menunggu hasilnya acc brpa ya hasilnya,2018-07,NEGATIVE,0,0
saya mengucapkan terima kasih kepada indo dana semoga sukses selalu,5,2018-07-18,"['terima', 'kasih', 'indo', 'dana', 'semoga', 'sukses']",terima kasih indo dana moga sukses,terima kasih indo dana semoga sukses,2018-07,POSITIVE,0,0
tidak sesuai dengan kalimat promo ternyata rumit pinjaman tanpa anggunan dan kta,2,2018-07-31,"['sesuai', 'kalimat', 'promo', 'rumit', 'pinjaman', 'anggunan', 'kta']",sesuai kalimat promo rumit pinjam anggun kta,sesuai kalimat promo rumit pinjaman anggunan kta,2018-07,NEGATIVE,0,0
kasih bintang semoga bisa percepat acc gresik,5,2018-07-20,"['kasih', 'bintang', 'semoga', 'percepat', 'acc', 'gresik']",kasih bintang moga cepat acc gresik,kasih bintang semoga percepat acc gresik,2018-07,POSITIVE,0,0
kasih bintang semoga acc kebetulan kerja bandung,5,2018-07-26,"['kasih', 'bintang', 'semoga', 'acc', 'kerja', 'bandung']",kasih bintang moga acc kerja bandung,kasih bintang semoga acc kerja bandung,2018-07,POSITIVE,0,0
mudah mudahan pinjaman saya disetujui terima kasih,1,2018-07-20,"['mudah', 'mudahan', 'pinjaman', 'disetujui', 'terima', 'kasih']",mudah mudah pinjam tuju terima kasih,mudah mudahan pinjaman disetujui terima kasih,2018-07,POSITIVE,0,0
saya berasa diluar jabotabek berarti suatu bisa ngajuin pinjaman dong asyik seperti lain,1,2018-07-26,"['berasa', 'diluar', 'jabotabek', 'ngajuin', 'pinjaman', 'asyik']",rasa luar jabotabek ngajuin pinjam asyik,berasa diluar jabotabek ngajuin pinjaman asyik,2018-07,POSITIVE,0,0
