content,score,at,token,lemmatized,clean,period,sentiment,is_positive,is_negative,rating_sentiment
cepat sih eman deh kalau bisa wilayah surabaya juga ada,5,2018-04-29,"['cepat', 'sih', 'eman', 'deh', 'wilayah', 'surabaya']",cepat sih eman deh wilayah surabaya,cepat sih eman deh wilayah surabaya,2018-04,POSITIVE,1,0,POSITIVE
saya kasih bintang acc gkx tar terima kasih,5,2018-04-06,"['kasih', 'bintang', 'acc', 'gkx', 'tar', 'terima', 'kasih']",kasih bintang acc gkx tar terima kasih,kasih bintang acc gkx tar terima kasih,2018-04,POSITIVE,1,0,POSITIVE
nyangkutin mobile banking tidak bisa padahal saya login juga pakai seri sama pasword itu lok,1,2018-04-16,"['nyangkutin', 'mobile', 'banking', 'login', 'pakai', 'seri', 'pasword', 'lok']",nyangkutin mobile banking login pakai seri pasword lok,nyangkutin mobile banking login pakai seri pasword lok,2018-04,NEGATIVE,0,1,NEGATIVE
kenapa saya selalu cbak bisa kata koneksi internet bisa pdahal jaringan saya,2,2018-04-23,"['cbak', 'koneksi', 'internet', 'pdahal', 'jaringan']",cbak koneksi internet pdahal jaring,cbak koneksi internet pdahal jaringan,2018-04,NEGATIVE,0,1,NEGATIVE
saya daerh surabaya mohon disetujui sangat membantu,5,2018-04-11,"['daerh', 'surabaya', 'mohon', 'disetujui', 'membantu']",daerh surabaya mohon tuju bantu,daerh surabaya mohon disetujui membantu,2018-04,POSITIVE,1,0,POSITIVE
semoga membantu banyak orang yang membutuhkan bantuan kemudahan keuangan,5,2018-04-19,"['semoga', 'membantu', 'orang', 'membutuhkan', 'bantuan', 'kemudahan', 'keuangan']",moga bantu orang butuh bantu mudah uang,semoga membantu orang membutuhkan bantuan kemudahan keuangan,2018-04,POSITIVE,1,0,POSITIVE
foto ktp dan selfie sudah dicoba berkali kali selalu gagal,1,2018-04-27,"['foto', 'ktp', 'selfie', 'dicoba', 'berkali', 'kali', 'gagal']",foto ktp selfie coba kali kali gagal,foto ktp selfie dicoba berkali kali gagal,2018-04,NEGATIVE,0,1,NEGATIVE
bunga kayak orang gila mening kemana mana masuk ojk ini kayaknya,1,2018-04-22,"['bunga', 'kayak', 'orang', 'gila', 'mening', 'kemana', 'masuk', 'ojk', 'kayaknya']",bunga kayak orang gila ning mana masuk ojk kayak,bunga kayak orang gila mening kemana masuk ojk kayaknya,2018-04,NEGATIVE,0,1,NEGATIVE
sudah susah payah mengisi rating tinggi bahkan tidak lolos penipu,1,2018-05-09,"['susah', 'payah', 'mengisi', 'rating', 'lolos', 'penipu']",susah payah isi rating lolos tipu,susah payah mengisi rating lolos penipu,2018-05,NEGATIVE,0,1,NEGATIVE
hati bro akun google dan sebagainya bisa hack hati saja,1,2018-05-28,"['hati', 'bro', 'akun', 'google', 'hack', 'hati']",hati bro akun google hack hati,hati bro akun google hack hati,2018-05,NEGATIVE,0,1,NEGATIVE
semoga lebih lancar lagi proses pinjaman nya,5,2018-05-01,"['semoga', 'lancar', 'proses', 'pinjaman', 'nya']",moga lancar proses pinjam nya,semoga lancar proses pinjaman nya,2018-05,POSITIVE,1,0,POSITIVE
sayang sekali wilayah jabar meluas padahal aplikasi bagus rumit,2,2018-05-28,"['sayang', 'wilayah', 'jabar', 'meluas', 'aplikasi', 'bagus', 'rumit']",sayang wilayah jabar luas aplikasi bagus rumit,sayang wilayah jabar meluas aplikasi bagus rumit,2018-05,NEGATIVE,0,1,NEGATIVE
mantap banget ini bisa nyicil angsurannya semoga saja setujui saya berasa sumatera barat,5,2018-05-01,"['mantap', 'banget', 'nyicil', 'angsurannya', 'semoga', 'setujui', 'berasa', 'sumatera', 'barat']",mantap banget nyicil angsur moga tuju rasa sumatera barat,mantap banget nyicil angsurannya semoga setujui berasa sumatera barat,2018-05,POSITIVE,1,0,POSITIVE
susah pinjam karena tidak punya bangking kalau ada pengganti bangking lebih mudah proses pengajuanny,4,2018-05-19,"['susah', 'pinjam', 'bangking', 'pengganti', 'bangking', 'mudah', 'proses', 'pengajuanny']",susah pinjam bangking ganti bangking mudah proses pengajuanny,susah pinjam bangking pengganti bangking mudah proses pengajuanny,2018-05,POSITIVE,1,0,POSITIVE
parah katanya mudah tapi rumit pakai internet banking,1,2018-05-30,"['parah', 'mudah', 'rumit', 'pakai', 'internet', 'banking']",parah mudah rumit pakai internet banking,parah mudah rumit pakai internet banking,2018-05,NEGATIVE,0,1,NEGATIVE
semoga cepat cair uangnya dan tidak ada masalah aamiin,5,2018-05-20,"['semoga', 'cepat', 'cair', 'uangnya', 'aamiin']",moga cepat cair uang aamiin,semoga cepat cair uangnya aamiin,2018-05,POSITIVE,1,0,POSITIVE
itunggu untuk area surabaya jawa timur terima kasih,5,2018-05-29,"['itunggu', 'area', 'surabaya', 'jawa', 'timur', 'terima', 'kasih']",itunggu area surabaya jawa timur terima kasih,itunggu area surabaya jawa timur terima kasih,2018-05,POSITIVE,1,0,POSITIVE
mudahan acc dan beri pinjaman sukses terus indodana,5,2018-05-05,"['mudahan', 'acc', 'pinjaman', 'sukses', 'indodana']",mudah acc pinjam sukses indodana,mudahan acc pinjaman sukses indodana,2018-05,POSITIVE,1,0,POSITIVE
selama saya pinjam bagus saja semoga pelayanan lebih dipercepat saja,5,2018-05-25,"['pinjam', 'bagus', 'semoga', 'pelayanan', 'dipercepat']",pinjam bagus moga layan cepat,pinjam bagus semoga pelayanan dipercepat,2018-05,POSITIVE,1,0,POSITIVE
lama banget porses anilisnya bagaimana sih sudah hari tidak ada kejelasan,2,2018-06-27,"['banget', 'porses', 'anilisnya', 'sih', 'kejelasan']",banget porses anilisnya sih jelas,banget porses anilisnya sih kejelasan,2018-06,NEGATIVE,0,1,NEGATIVE
keren cuman untuk area medan tidak tersedia,1,2018-06-05,"['keren', 'cuman', 'area', 'medan', 'tersedia']",keren cuman area medan sedia,keren cuman area medan tersedia,2018-06,NEGATIVE,0,1,NEGATIVE
sangat membantu semoga kedepannya tenor pnjamannya perpanjang,5,2018-06-29,"['membantu', 'semoga', 'kedepannya', 'tenor', 'pnjamannya', 'perpanjang']",bantu moga depan tenor pnjamannya panjang,membantu semoga kedepannya tenor pnjamannya perpanjang,2018-06,POSITIVE,1,0,POSITIVE
aku beri bintang buanyak deh semoga bisa membantu,5,2018-06-24,"['bintang', 'buanyak', 'deh', 'semoga', 'membantu']",bintang buanyak deh moga bantu,bintang buanyak deh semoga membantu,2018-06,POSITIVE,1,0,POSITIVE
aplikasi tai minta data mah macem acc mah lambat,1,2018-06-07,"['aplikasi', 'tai', 'data', 'mah', 'macem', 'acc', 'mah', 'lambat']",aplikasi tai data mah macem acc mah lambat,aplikasi tai data mah macem acc mah lambat,2018-06,NEGATIVE,0,1,NEGATIVE
mudah acc dan jangan persulit pengajuannya jangan tolak benar lagi butuh,5,2018-06-21,"['mudah', 'acc', 'persulit', 'pengajuannya', 'tolak', 'butuh']",mudah acc sulit aju tolak butuh,mudah acc persulit pengajuannya tolak butuh,2018-06,POSITIVE,1,0,POSITIVE
pengajuan saya sejak tanggal juni sampai sekarang belum ada kepastian setujui apa tidak,1,2018-06-20,"['pengajuan', 'tanggal', 'juni', 'kepastian', 'setujui']",aju tanggal juni pasti tuju,pengajuan tanggal juni kepastian setujui,2018-06,NEGATIVE,0,1,NEGATIVE
baru mau pengajuan sudah langsung tolak aplikasi aneh,1,2018-06-11,"['pengajuan', 'langsung', 'tolak', 'aplikasi', 'aneh']",aju langsung tolak aplikasi aneh,pengajuan langsung tolak aplikasi aneh,2018-06,NEGATIVE,0,1,NEGATIVE
ini sangat berguna bagi saya mudah mudahan pinjeman saya acc terima kasih,5,2018-06-08,"['berguna', 'mudah', 'mudahan', 'pinjeman', 'acc', 'terima', 'kasih']",guna mudah mudah pinjeman acc terima kasih,berguna mudah mudahan pinjeman acc terima kasih,2018-06,POSITIVE,1,0,POSITIVE
katanya hari kerja ini sudah 3hk tidak ada kabar approval atau tolak tidak jelas,1,2018-06-07,"['kerja', '3hk', 'kabar', 'approval', 'tolak']",kerja 3hk kabar approval tolak,kerja 3hk kabar approval tolak,2018-06,NEGATIVE,0,1,NEGATIVE
ambon dan semoga ini bisa membantu terima kasih,5,2018-06-03,"['ambon', 'semoga', 'membantu', 'terima', 'kasih']",ambon moga bantu terima kasih,ambon semoga membantu terima kasih,2018-06,POSITIVE,1,0,POSITIVE
proses lama banget berhari hari tolong batal ajaa,2,2018-06-04,"['proses', 'banget', 'berhari', 'tolong', 'batal', 'ajaa']",proses banget hari tolong batal ajaa,proses banget berhari tolong batal ajaa,2018-06,NEGATIVE,0,1,NEGATIVE
ktnye ktp doank tetap mintain npwp terus kalau ada dong pinjaminnye,2,2018-06-25,"['ktnye', 'ktp', 'doank', 'mintain', 'npwp', 'pinjaminnye']",ktnye ktp doank mintain npwp pinjaminnye,ktnye ktp doank mintain npwp pinjaminnye,2018-06,NEGATIVE,0,1,NEGATIVE
sangat membantu sekali terima kasih inoana semoga proses pinjaman selanjutnya cepat dan mudah,4,2018-06-27,"['membantu', 'terima', 'kasih', 'inoana', 'semoga', 'proses', 'pinjaman', 'cepat', 'mudah']",bantu terima kasih inoana moga proses pinjam cepat mudah,membantu terima kasih inoana semoga proses pinjaman cepat mudah,2018-06,POSITIVE,1,0,POSITIVE
semoga saja membantu dan diproses cepat terima kasih indodana,5,2018-07-27,"['semoga', 'membantu', 'diproses', 'cepat', 'terima', 'kasih', 'indodana']",moga bantu proses cepat terima kasih indodana,semoga membantu diproses cepat terima kasih indodana,2018-07,POSITIVE,1,0,POSITIVE
espektasinya abad menunggu kalau disetujui kalau tidak apa tidak encok,1,2018-07-12,"['espektasinya', 'abad', 'menunggu', 'disetujui', 'encok']",espektasinya abad tunggu tuju encok,espektasinya abad menunggu disetujui encok,2018-07,NEGATIVE,0,1,NEGATIVE
ini apkls bisa membantu sumpah sangat bagus kalau didownlod,5,2018-07-30,"['apkls', 'membantu', 'sumpah', 'bagus', 'didownlod']",apkls bantu sumpah bagus didownlod,apkls membantu sumpah bagus didownlod,2018-07,POSITIVE,1,0,POSITIVE
ntuk masukkan ktp selalu gagal padahal sdah sebisa mngkin bagaimana nieh indodana,1,2018-07-27,"['ntuk', 'masukkan', 'ktp', 'gagal', 'sdah', 'sebisa', 'mngkin', 'nieh', 'indodana']",ntuk masuk ktp gagal sdah bisa mngkin nieh indodana,ntuk masukkan ktp gagal sdah sebisa mngkin nieh indodana,2018-07,NEGATIVE,0,1,NEGATIVE
bagus baru ngajuin mohon bantuannya semoga acc aamiin,4,2018-07-13,"['bagus', 'ngajuin', 'mohon', 'bantuannya', 'semoga', 'acc', 'aamiin']",bagus ngajuin mohon bantu moga acc aamiin,bagus ngajuin mohon bantuannya semoga acc aamiin,2018-07,POSITIVE,1,0,POSITIVE
semoga pinjaman saya acc semoga beruntung untuk ini,5,2018-07-06,"['semoga', 'pinjaman', 'acc', 'semoga', 'beruntung']",moga pinjam acc moga untung,semoga pinjaman acc semoga beruntung,2018-07,POSITIVE,1,0,POSITIVE
baru selesai isi form sudah tertolak aneh,1,2018-07-27,"['selesai', 'isi', 'form', 'tertolak', 'aneh']",selesai isi form tolak aneh,selesai isi form tertolak aneh,2018-07,NEGATIVE,0,1,NEGATIVE
tidak menyesal sudah baikk banget terima kasih semoga sukses selalu,5,2018-07-16,"['menyesal', 'baikk', 'banget', 'terima', 'kasih', 'semoga', 'sukses']",sesal baikk banget terima kasih moga sukses,menyesal baikk banget terima kasih semoga sukses,2018-07,POSITIVE,1,0,POSITIVE
semoga acc tambahan pembayaran pendidikan anak saya aamiin,5,2018-07-17,"['semoga', 'acc', 'tambahan', 'pembayaran', 'pendidikan', 'anak', 'aamiin']",moga acc tambah bayar didik anak aamiin,semoga acc tambahan pembayaran pendidikan anak aamiin,2018-07,POSITIVE,1,0,POSITIVE
semoga acc karena untuk pengembangan modal usaha istri,5,2018-07-01,"['semoga', 'acc', 'pengembangan', 'modal', 'usaha', 'istri']",moga acc kembang modal usaha istri,semoga acc pengembangan modal usaha istri,2018-07,POSITIVE,1,0,POSITIVE
saya mengucapkan terima kasih kepada indo dana semoga sukses selalu,5,2018-07-18,"['terima', 'kasih', 'indo', 'dana', 'semoga', 'sukses']",terima kasih indo dana moga sukses,terima kasih indo dana semoga sukses,2018-07,POSITIVE,1,0,POSITIVE
tidak sesuai dengan kalimat promo ternyata rumit pinjaman tanpa anggunan dan kta,2,2018-07-31,"['sesuai', 'kalimat', 'promo', 'rumit', 'pinjaman', 'anggunan', 'kta']",sesuai kalimat promo rumit pinjam anggun kta,sesuai kalimat promo rumit pinjaman anggunan kta,2018-07,NEGATIVE,0,1,NEGATIVE
kasih bintang semoga bisa percepat acc gresik,5,2018-07-20,"['kasih', 'bintang', 'semoga', 'percepat', 'acc', 'gresik']",kasih bintang moga cepat acc gresik,kasih bintang semoga percepat acc gresik,2018-07,POSITIVE,1,0,POSITIVE
kasih bintang semoga acc kebetulan kerja bandung,5,2018-07-26,"['kasih', 'bintang', 'semoga', 'acc', 'kerja', 'bandung']",kasih bintang moga acc kerja bandung,kasih bintang semoga acc kerja bandung,2018-07,POSITIVE,1,0,POSITIVE
pinjaman tolak kalau sudah tahu begini ngpain bayar sebelum jatuh tempo,2,2018-07-11,"['pinjaman', 'tolak', 'ngpain', 'bayar', 'jatuh', 'tempo']",pinjam tolak ngpain bayar jatuh tempo,pinjaman tolak ngpain bayar jatuh tempo,2018-07,NEGATIVE,0,1,NEGATIVE
capee deeh mentok akun internet banking padahal sama paswordnya sudah benar,1,2018-07-01,"['capee', 'deeh', 'mentok', 'akun', 'internet', 'banking', 'paswordnya']",capee deeh mentok akun internet banking paswordnya,capee deeh mentok akun internet banking paswordnya,2018-07,NEGATIVE,0,1,NEGATIVE
katanya proses hari ternyata hari sudah tunggu lama tidak acc rentenir zaman now,1,2018-07-18,"['proses', 'tunggu', 'acc', 'rentenir', 'zaman', 'now']",proses tunggu acc rentenir zaman now,proses tunggu acc rentenir zaman now,2018-07,NEGATIVE,0,1,NEGATIVE
semoga acc buat dafrar ulang kuliah adik,5,2018-08-22,"['semoga', 'acc', 'dafrar', 'ulang', 'kuliah', 'adik']",moga acc dafrar ulang kuliah adik,semoga acc dafrar ulang kuliah adik,2018-08,POSITIVE,1,0,POSITIVE
pinjaman mantap sangat membantu sekaali bagus kerja indo dana,5,2018-08-09,"['pinjaman', 'mantap', 'membantu', 'sekaali', 'bagus', 'kerja', 'indo', 'dana']",pinjam mantap bantu sekaali bagus kerja indo dana,pinjaman mantap membantu sekaali bagus kerja indo dana,2018-08,POSITIVE,1,0,POSITIVE
sahkan untuk wilayah lampung tengah nanti saya tambh lagi bintang kalau bisa,2,2018-08-24,"['sahkan', 'wilayah', 'lampung', 'tambh', 'bintang']",sahkan wilayah lampung tambh bintang,sahkan wilayah lampung tambh bintang,2018-08,NEGATIVE,0,1,NEGATIVE
saya kecewa saya pinjam kenapa acc 5rb itu uang belum transfer profisonal amat,2,2018-08-01,"['kecewa', 'pinjam', 'acc', '5rb', 'uang', 'transfer', 'profisonal']",kecewa pinjam acc 5rb uang transfer profisonal,kecewa pinjam acc 5rb uang transfer profisonal,2018-08,NEGATIVE,0,1,NEGATIVE
semoga acc bnar btuh semoga indo dana sukses terus,5,2018-08-12,"['semoga', 'acc', 'bnar', 'btuh', 'semoga', 'indo', 'dana', 'sukses']",moga acc bnar btuh moga indo dana sukses,semoga acc bnar btuh semoga indo dana sukses,2018-08,POSITIVE,1,0,POSITIVE
prosesnya terlalu lama dan tidak ada notifikasi sms ataupun email saat pengajuan dilakukan,2,2018-08-27,"['prosesnya', 'notifikasi', 'sms', 'email', 'pengajuan']",proses notifikasi sms email aju,prosesnya notifikasi sms email pengajuan,2018-08,NEGATIVE,0,1,NEGATIVE
rumit ada banking segala kudu daftar banking dulu akan rumit,2,2018-08-29,"['rumit', 'banking', 'kudu', 'daftar', 'banking', 'rumit']",rumit banking kudu daftar banking rumit,rumit banking kudu daftar banking rumit,2018-08,NEGATIVE,0,1,NEGATIVE
sudah hari ada kabar tertulis hari pakai sistem atau manual nih pemberi harapan palsu,1,2018-08-30,"['kabar', 'tertulis', 'pakai', 'sistem', 'manual', 'nih', 'pemberi', 'harapan', 'palsu']",kabar tulis pakai sistem manual nih beri harap palsu,kabar tertulis pakai sistem manual nih pemberi harapan palsu,2018-08,NEGATIVE,0,1,NEGATIVE
bintang saya revisi bintang verikasi tidak objektif,1,2018-08-06,"['bintang', 'revisi', 'bintang', 'verikasi', 'objektif']",bintang revisi bintang verikasi objektif,bintang revisi bintang verikasi objektif,2018-08,NEGATIVE,0,1,NEGATIVE
semoga acc insya allah saya akan bayar tepat waktu,5,2018-08-31,"['semoga', 'acc', 'insya', 'allah', 'bayar']",moga acc insya allah bayar,semoga acc insya allah bayar,2018-08,POSITIVE,1,0,POSITIVE
aku kasih bintang masih mau coba acc tidak kalau acc alhamdulillah kalau tidak juga apa,5,2018-08-25,"['kasih', 'bintang', 'coba', 'acc', 'acc', 'alhamdulillah']",kasih bintang coba acc acc alhamdulillah,kasih bintang coba acc acc alhamdulillah,2018-08,POSITIVE,1,0,POSITIVE
bintang dahulu kalau acc benaran bagus pemberi harapan palsu,2,2018-08-29,"['bintang', 'acc', 'benaran', 'bagus', 'pemberi', 'harapan', 'palsu']",bintang acc benar bagus beri harap palsu,bintang acc benaran bagus pemberi harapan palsu,2018-08,NEGATIVE,0,1,NEGATIVE
terpercaya mudah dan yang terpenting harus tahu caranya terima kasih,5,2018-08-22,"['terpercaya', 'mudah', 'terpenting', 'terima', 'kasih']",terpercaya mudah penting terima kasih,terpercaya mudah terpenting terima kasih,2018-08,POSITIVE,1,0,POSITIVE
aplikasi bisa batal maen kirim saja anjing,1,2018-08-24,"['aplikasi', 'batal', 'maen', 'kirim', 'anjing']",aplikasi batal maen kirim anjing,aplikasi batal maen kirim anjing,2018-08,NEGATIVE,0,1,NEGATIVE
admin aya henteu can aya klarifikasi duhh sok ath sat sit set minimal,1,2018-08-12,"['admin', 'aya', 'henteu', 'can', 'aya', 'klarifikasi', 'duhh', 'sok', 'ath', 'sat', 'sit', 'set', 'minimal']",admin aya henteu can aya klarifikasi duhh sok ath sat sit set minimal,admin aya henteu can aya klarifikasi duhh sok ath sat sit set minimal,2018-08,NEGATIVE,0,1,NEGATIVE
pemberi harapan palsu doank hari masih belum dapat labor hahha,1,2018-08-05,"['pemberi', 'harapan', 'palsu', 'doank', 'labor', 'hahha']",beri harap palsu doank labor hahha,pemberi harapan palsu doank labor hahha,2018-08,NEGATIVE,0,1,NEGATIVE
baru daftar mantap bro langsung tolak walaupun cuma ribu payahh,2,2018-08-18,"['daftar', 'mantap', 'bro', 'langsung', 'tolak', 'ribu', 'payahh']",daftar mantap bro langsung tolak ribu payahh,daftar mantap bro langsung tolak ribu payahh,2018-08,NEGATIVE,0,1,NEGATIVE
baru mau dicoba mudahan diberi kemudahan buat biaya kuliah,5,2018-08-10,"['dicoba', 'mudahan', 'kemudahan', 'biaya', 'kuliah']",coba mudah mudah biaya kuliah,dicoba mudahan kemudahan biaya kuliah,2018-08,POSITIVE,1,0,POSITIVE
saya kasih bintang dulu karena daerah balikpapan belum bisa syg sekali,4,2018-08-28,"['kasih', 'bintang', 'daerah', 'balikpapan', 'syg']",kasih bintang daerah balikpapan syg,kasih bintang daerah balikpapan syg,2018-08,POSITIVE,1,0,POSITIVE
atas pencairan dananya semoga tambah sukses selalu indodana,5,2018-08-15,"['pencairan', 'dananya', 'semoga', 'sukses', 'indodana']",cair dana moga sukses indodana,pencairan dananya semoga sukses indodana,2018-08,POSITIVE,1,0,POSITIVE
semoga bisa acc biar bisa membantu keperluan saya,5,2018-08-03,"['semoga', 'acc', 'biar', 'membantu', 'keperluan']",moga acc biar bantu perlu,semoga acc biar membantu keperluan,2018-08,POSITIVE,1,0,POSITIVE
bagus wlwpun belum cair tapi percaya sama indodana,5,2018-08-28,"['bagus', 'wlwpun', 'cair', 'percaya', 'indodana']",bagus wlwpun cair percaya indodana,bagus wlwpun cair percaya indodana,2018-08,POSITIVE,1,0,POSITIVE
mengajukan tanggal sampai sekarang belum ada kabar katanya cuma hari kerja sesuai lah,2,2018-08-27,"['mengajukan', 'tanggal', 'kabar', 'kerja', 'sesuai']",aju tanggal kabar kerja sesuai,mengajukan tanggal kabar kerja sesuai,2018-08,NEGATIVE,0,1,NEGATIVE
coba untuk wilayah jember kalau melayani saya tambah bintang nya,5,2018-08-06,"['coba', 'wilayah', 'jember', 'melayani', 'bintang', 'nya']",coba wilayah jember layan bintang nya,coba wilayah jember melayani bintang nya,2018-08,POSITIVE,1,0,POSITIVE
sulit buat ibu rumah tangga seperti tidak bekerja luar tetapi punya usaha keridit barang rumah,1,2018-08-09,"['sulit', 'rumah', 'tangga', 'usaha', 'keridit', 'barang', 'rumah']",sulit rumah tangga usaha keridit barang rumah,sulit rumah tangga usaha keridit barang rumah,2018-08,NEGATIVE,0,1,NEGATIVE
approvednya lama banget tidak taunya tolak ahahhahaha,1,2018-08-30,"['approvednya', 'banget', 'taunya', 'tolak', 'ahahhahaha']",approvednya banget tau tolak ahahhahaha,approvednya banget taunya tolak ahahhahaha,2018-08,NEGATIVE,0,1,NEGATIVE
lama prosesnya ujung ujungnya tolak parah nyolong data,1,2018-08-19,"['prosesnya', 'ujung', 'ujungnya', 'tolak', 'parah', 'nyolong', 'data']",proses ujung ujung tolak parah nyolong data,prosesnya ujung ujungnya tolak parah nyolong data,2018-08,NEGATIVE,0,1,NEGATIVE
